project,class_name,method_name,target_class_name,label
jgrapht,FRQuadTree,FRQuadTree,Box2D,0
jgrapht,FRQuadTree,insert,Point2D,0
jgrapht,Boxes,containsPoint,Point2D,1
jgrapht,Boxes,splitAlongXAxis,Box2D,1
jgrapht,Boxes,splitAlongYAxis,Box2D,1
jgrapht,Boxes,containsPoint,Point2D,0
jgrapht,ListenableLayoutModel2D,setDrawableArea,Box2D,0
jgrapht,ListenableLayoutModel2D,put,Point2D,0
jgrapht,ListenableLayoutModel2D,notifyListeners,Point2D,0
jgrapht,MapLayoutModel2D,MapLayoutModel2D,Box2D,0
jgrapht,MapLayoutModel2D,getDrawableArea,Box2D,0
jgrapht,MapLayoutModel2D,setDrawableArea,Box2D,0
jgrapht,MapLayoutModel2D,put,Point2D,0
jgrapht,Points,length,Point2D,0
jgrapht,Points,add,Point2D,0
jgrapht,Points,subtract,Point2D,1
jgrapht,Points,negate,Point2D,0
jgrapht,Points,scalarMultiply,Point2D,0
jgrapht,Points,scalarMultiply,Point2D,1
jgrapht,Points,equals,ToleranceDoubleComparator,0
jgrapht,DenseEdmondsMaximumCardinalityMatching,init,FixedSizeIntegerQueue,0
jgrapht,DenseEdmondsMaximumCardinalityMatching,augment,FixedSizeIntegerQueue,0
jgrapht,DenseEdmondsMaximumCardinalityMatching,blossomSupports,FixedSizeIntegerQueue,0
jgrapht,HopcroftKarpMaximumCardinalityBipartiteMatching,init,FixedSizeIntegerQueue,0
jgrapht,HopcroftKarpMaximumCardinalityBipartiteMatching,bfs,FixedSizeIntegerQueue,0
jgrapht,BlossomVDualUpdater,getEps,BlossomVTree,0
jgrapht,BlossomVDualUpdater,updateDualsSingle,BlossomVTree,0
jgrapht,BlossomVEdge,getOpposite,BlossomVNode,0
jgrapht,BlossomVEdge,getCurrentOriginal,BlossomVNode,0
jgrapht,BlossomVEdge,getDirFrom,BlossomVNode,0
jgrapht,BlossomVEdge,moveEdgeTail,BlossomVNode,1
jgrapht,BlossomVEdge,blossomNodesIterator,BlossomVNode,0
jgrapht,BlossomVInitializer,initialize,BlossomVOptions,0
jgrapht,BlossomVInitializer,simpleInitialization,BlossomVOptions,0
jgrapht,BlossomVInitializer,greedyInitialization,BlossomVOptions,0
jgrapht,BlossomVInitializer,fractionalMatchingInitialization,BlossomVOptions,0
jgrapht,BlossomVInitializer,addEdge,BlossomVNode,0
jgrapht,BlossomVInitializer,updateDuals,BlossomVNode,0
jgrapht,BlossomVInitializer,addToHead,BlossomVEdge,0
jgrapht,BlossomVInitializer,removeFromHeap,BlossomVNode,0
jgrapht,BlossomVInitializer,findBlossomRootInit,BlossomVEdge,0
jgrapht,BlossomVInitializer,handleInfinityEdgeInit,BlossomVEdge,1
jgrapht,BlossomVInitializer,augmentBranchInit,BlossomVEdge,0
jgrapht,BlossomVInitializer,shrinkInit,BlossomVNode,0
jgrapht,BlossomVInitializer,expandInit,BlossomVEdge,0
jgrapht,BlossomVNode,addEdge,BlossomVEdge,0
jgrapht,BlossomVNode,removeEdge,BlossomVEdge,0
jgrapht,BlossomVNode,getTreeGrandparent,BlossomVEdge,0
jgrapht,BlossomVNode,getTreeParent,BlossomVEdge,0
jgrapht,BlossomVNode,addChild,BlossomVNode,0
jgrapht,BlossomVNode,getOppositeMatched,BlossomVEdge,0
jgrapht,BlossomVNode,removeFromChildList,BlossomVNode,0
